player_id,player_name,team,position,week_num,opponent,pass_yds,pass_td,pass_int,rush_yds,rush_td,recs,rec_yds,rec_td,def_sack,def_int,def_fumb_forced,def_fumb_recovered,fantasy_pts
17959,Derrick Henry,TEN,RB,2,SEA,0,0,0,182,3,6,55,0,0,0,0,0,41.7
19801,Josh Allen,BUF,QB,3,WAS,358,4,0,9,1,0,0,0,0,0,0,0,37.22
13749,Chandler Jones,ARI,DE,1,TEN,0,0,0,0,0,0,0,0,5,0,2,0,36.6
18082,Tyreek Hill,KC,WR,4,PHI,0,0,0,0,0,11,186,3,0,0,0,0,36.6
19045,Aaron Jones,GB,RB,2,DET,0,0,0,67,1,6,48,3,0,0,0,0,35.5
20889,Kyler Murray,ARI,QB,1,TEN,289,4,1,20,1,0,0,0,0,0,0,0,33.56
18890,Patrick Mahomes,KC,QB,1,CLE,337,3,0,18,1,0,0,0,0,0,0,0,33.28
20889,Kyler Murray,ARI,QB,2,MIN,400,3,2,31,1,0,0,0,0,0,0,0,33.1
19781,Lamar Jackson,BAL,QB,2,KC,239,1,2,107,2,0,0,0,0,0,0,0,32.26
18890,Patrick Mahomes,KC,QB,4,PHI,278,5,1,26,0,0,0,0,0,0,0,0,31.72
19812,Sam Darnold,CAR,QB,4,DAL,301,2,2,35,2,0,0,0,0,0,0,0,31.54
21681,Justin Herbert,LAC,QB,3,KC,281,4,0,16,0,0,0,0,0,0,0,0,30.84
4314,Tom Brady,TB,QB,2,ATL,276,5,0,6,0,0,0,0,0,0,0,0,29.64
16762,Jameis Winston,NO,QB,1,GB,148,5,0,37,0,0,0,0,0,0,0,0,29.62
15150,Cordarrelle Patterson,ATL,RB,4,WAS,0,0,0,34,0,5,82,3,0,0,0,0,29.6
9038,Matthew Stafford,LAR,QB,3,TB,343,4,0,-2,0,0,0,0,0,0,0,0,29.52
20841,Daniel Jones,NYG,QB,2,WAS,249,1,0,95,1,0,0,0,0,0,0,0,29.46
732,Matt Ryan,ATL,QB,4,WAS,283,4,0,17,0,0,0,0,0,0,0,0,29.02
17922,Jared Goff,DET,QB,1,SF,338,3,1,14,0,0,0,0,0,0,0,0,28.92
21831,Jalen Hurts,PHI,QB,1,ATL,264,3,0,62,0,0,0,0,0,0,0,0,28.76
4314,Tom Brady,TB,QB,3,LAR,432,1,0,14,1,0,0,0,0,0,0,0,28.68
21831,Jalen Hurts,PHI,QB,4,KC,387,2,0,47,0,0,0,0,0,0,0,0,28.18
18807,Myles Garrett,CLE,DE,3,CHI,0,0,0,0,0,0,0,0,4.5,0,0,0,27.95
17179,Taylor Heinicke,WAS,QB,4,ATL,290,3,0,43,0,0,0,0,0,0,0,0,27.9
18882,Cooper Kupp,LAR,WR,2,IND,0,0,0,-5,0,9,163,2,0,0,0,0,27.8
20932,Deebo Samuel,SF,WR,4,SEA,0,0,0,1,0,8,156,2,0,0,0,0,27.7
18055,Dak Prescott,DAL,QB,1,TB,403,3,1,13,0,0,0,0,0,0,0,0,27.42
4314,Tom Brady,TB,QB,1,DAL,379,4,2,0,0,0,0,0,0,0,0,0,27.16
14536,Russell Wilson,SEA,QB,1,IND,254,4,0,9,0,0,0,0,0,0,0,0,27.06
18055,Dak Prescott,DAL,QB,4,CAR,188,4,0,35,0,0,0,0,0,0,0,0,27.02
2593,Aaron Rodgers,GB,QB,2,DET,255,4,0,6,0,0,0,0,0,0,0,0,26.8
20841,Daniel Jones,NYG,QB,4,NO,402,2,1,27,0,0,0,0,0,0,0,0,26.78
19562,Austin Ekeler,LAC,RB,4,LV,0,0,0,117,1,3,28,1,0,0,0,0,26.5
18914,Mike Williams,LAC,WR,3,KC,0,0,0,0,0,7,122,2,0,0,0,0,26.2
18082,Tyreek Hill,KC,WR,1,CLE,0,0,0,4,0,11,197,1,0,0,0,0,26.1
16765,Amari Cooper,DAL,WR,1,TB,0,0,0,0,0,13,139,2,0,0,0,0,25.9
19812,Sam Darnold,CAR,QB,3,HOU,304,0,0,11,2,0,0,0,0,0,0,0,25.26
14252,Kirk Cousins,MIN,QB,2,ARI,244,3,0,35,0,0,0,0,0,0,0,0,25.26
14252,Kirk Cousins,MIN,QB,3,SEA,323,3,0,2,0,0,0,0,0,0,0,0,25.12
